SubcategoryCode,SubcategoryName,GoodsName,WithoutTax,WithTax,JAN,SupplierCode
201,サブカテゴリ1,SNOOPY ｺﾝﾋﾞｾｯﾄ ﾋﾞｰｸﾞﾙﾜｺﾞﾝ2,1078,980 ,4991277242902,10776
201,サブカテゴリ1,SNOOPYﾄﾘｵ 保冷ﾊﾞｯｸ,2530,2300 ,4991277262757,10776
201,サブカテゴリ1,雨傘(長傘) ｽﾄﾗｲﾌﾟCAT OFF,2090,1900 ,4560111784740,0716
201,サブカテゴリ1,晴雨(折傘)ｼﾙｴｯﾄﾎﾞﾀﾆｶﾙCAT OFF,1650,1500 ,4560111788304,0716
202,サブカテゴリ2,靴下ｻﾌﾟﾘﾃﾞｵﾄﾞﾗﾝﾄｳｽﾞﾏｲﾃ血行を促す23-25 BK,2200,2000 ,4548926302694,07490
202,サブカテゴリ2,雨傘(長傘) ｽﾇｰﾋﾟｰ ﾁｱｽﾄﾗｲﾌﾟ,2200,2000 ,4547128904835,0015
202,サブカテゴリ2,雨傘(長傘) ｽﾇｰﾋﾟｰ 夜空ﾄﾞｯﾄ,2200,2000 ,4547128904842,0015
202,サブカテゴリ2,雨傘(長傘) ｽﾇｰﾋﾟｰ かわいい犬,2200,2000 ,4547128904859,0015
202,サブカテゴリ2,雨傘(折傘) ｽﾇｰﾋﾟｰ ﾁｱｽﾄﾗｲﾌﾟ,2200,2000 ,4547128904927,0015
202,サブカテゴリ2,雨傘(折傘) ｽﾇｰﾋﾟｰ 夜空ﾄﾞｯﾄ,2200,2000 ,4547128904934,0015
202,サブカテゴリ2,雨傘(折傘) ｽﾇｰﾋﾟｰ かわいい犬,2200,2000 ,4547128904941,0015
202,サブカテゴリ2,pacapo ﾏﾙﾁﾎﾟｰﾁ Mｻｲｽﾞ ﾌﾗﾜｰPK,1650,1500 ,4580314359293,02540
202,サブカテゴリ2,pacapo ﾏﾙﾁﾎﾟｰﾁ Mｻｲｽﾞ ﾌﾗﾜｰBL,1650,1500 ,4580314359309,02540
202,サブカテゴリ2,pacapo ﾏﾙﾁﾎﾟｰﾁ Mｻｲｽﾞ ﾌﾗﾜｰYE,1650,1500 ,4580314359316,02540
202,サブカテゴリ2,ﾋﾟｱｽ ｼｽﾞｸ RH,1540,1400 ,4560409450036,0009A
202,サブカテゴリ2,雨傘(長傘) 大きい水玉と猫 BK,2090,1900 ,4560111789226,0716
202,サブカテゴリ2,雨傘(長傘) 大きい水玉と猫 OFF,2090,1900 ,4560111789233,0716
202,サブカテゴリ2,雨傘(長傘) ひなげしと猫 BE,2090,1900 ,4560111789271,0716
202,サブカテゴリ2,雨傘(長傘) ひなげしと猫 NV,2090,1900 ,4560111789264,0716
202,サブカテゴリ2,雨傘(長傘) ﾊﾞｰﾄﾞﾌﾗﾜｰ NV,2090,1900 ,4560111789387,0716
202,サブカテゴリ2,雨傘(長傘) ﾊﾞｰﾄﾞﾌﾗﾜｰ YE,2090,1900 ,4560111789394,0716
202,サブカテゴリ2,雨傘(折傘) 大きい水玉と猫 BK,2090,1900 ,4560111789240,0716
202,サブカテゴリ2,雨傘(折傘) 大きい水玉と猫 OFF,2090,1900 ,4560111789257,0716
202,サブカテゴリ2,雨傘(折傘) ひなげしと猫 BE,2090,1900 ,4560111789295,0716
202,サブカテゴリ2,雨傘(折傘) ひなげしと猫 NV,2090,1900 ,4560111789288,0716
202,サブカテゴリ2,雨傘(折傘) ﾊﾞｰﾄﾞﾌﾗﾜｰ NV,2090,1900 ,4560111789400,0716
202,サブカテゴリ2,雨傘(折傘) ﾊﾞｰﾄﾞﾌﾗﾜｰ YE,2090,1900 ,4560111789417,0716
202,サブカテゴリ2,ﾀﾞｲｶｯﾄｸﾘｯﾌﾟ MU19SS A,242,220 ,4901770584706,1201
